subcounty_code,constituency_code
101,1
102,2
103,3
104,5
105,6
106,4
201,10
203,9
204,7
206,8
303,13
305,11
306,12
307,17
308,16
309,14
501,21
502,22
601,25
603,23
604,26
605,24
701,28
702,30
703,31
704,27
705,32
706,32
707,29
802,37
804,35
805,34
806,33
807,38
808,36
901,39
902,40
904,44
906,43
907,41
1005,45
1006,46
1007,47
1101,50
1102,49
1203,52
1204,53
1205,51
1206,56
1207,59
1210,55
1211,54
1212,57
1302,60
1304,62
1305,62
1306,61
1401,64
1402,63
1403,63
1404,65
1405,66
1504,72
1505,70
1515,69
1520,68
1603,77
1604,79
1605,81
1606,75
1607,78
1608,82
1609,76
1702,87
1703,85
1705,86
1706,83
1707,83
1801,89
1804,90
1901,94
1909,98
2001,103
2004,100
2102,104
2103,105
2106,110
2107,107
2108,109
2201,112
2202,111
2203,116
2204,113
2205,119
2206,118
2207,117
2208,120
2209,122
2210,121
2211,115
2301,126
2302,126
2303,125
2304,128
2305,123
2306,127
2307,124
2402,132
2403,129
2404,132
2502,135
2503,134
2603,136
2604,137
2605,139
2701,144
2702,145
2703,146
2704,143
2705,141
2706,142
2801,149
2802,150
2803,147
2804,148
2901,154
2906,151
3001,159
3006,161
3007,157
3102,164
3103,165
3104,163
3201,169
3202,171
3203,170
3204,166
3205,168
3206,176
3207,175
3209,167
3210,173
3211,172
3301,180
3302,179
3303,181
3304,182
3402,184
3403,183
3404,186
3501,192
3502,191
3503,188
3504,189
3506,193
3601,196
3602,195
3603,198
3604,194
3605,197
3701,207
3706,208
3707,200
3708,199
3710,206
3711,205
3712,204
3713,203
3801,215
3802,211
3803,212
3804,214
3805,213
3901,219
3907,223
3910,224
3911,222
3913,216
4001,231
4003,229
4004,227
4006,225
4007,226
4101,234
4102,235
4103,232
4104,233
4105,236
4106,237
4201,238
4202,240
4203,239
4204,241
4205,243
4206,242
4207,244
4301,249
4302,250
4306,248
4309,251
4310,252
4401,254
4402,260
4403,259
4404,258
4405,253
4406,255
4407,256
4408,257
4506,262
4508,268
4509,266
4511,264
4512,263
4601,273
4602,270
4604,272
4701,274
4702,275
4703,276
4704,277
4705,278
4706,279
4707,280
4708,281
4709,283
4710,282
4711,284
4712,285
4713,286
4714,287
4715,288
4716,289
4717,290
