constituency_code,subcounty_code
7,207
8,202
10,205
15,301
15,302
15,304
15,310
18,402
18,403
19,401
20,404
23,602
32,708
33,801
38,803
42,905
42,908
47,1002
47,1003
47,1004
47,1008
48,1001
48,1009
48,1010
48,1011
49,1103
49,1104
50,1101
57,1201
57,1202
58,1208
58,1213
58,1214
61,1303
61,1307
63,1406
67,1506
67,1510
67,1519
70,1508
70,1509
71,1502
71,1503
73,1511
73,1517
73,1521
74,1501
74,1507
74,1513
74,1514
80,1601
81,1602
81,1610
84,1708
86,1701
86,1709
88,1704
91,1802
91,1805
91,1806
92,1803
93,1807
93,1808
94,1910
94,1911
95,1902
95,1903
96,1904
96,1905
97,1906
99,1908
101,2002
101,2007
102,2003
102,2005
103,2006
104,2111
106,2109
108,2110
108,2112
114,2212
114,2213
130,2405
131,2401
133,2501
138,2605
138,2606
140,2601
140,2602
140,2607
140,2608
141,2705
142,2706
143,2704
144,2701
145,2702
146,2703
152,2902
152,2903
152,2904
152,2905
153,2903
153,2904
153,2905
155,2902
155,2903
155,2904
155,2905
155,2906
156,2903
156,2904
156,2905
160,3001
160,3002
160,3003
160,3004
160,3005
160,3006
160,3007
162,3004
162,3005
162,3006
162,3007
166,3204
167,3209
168,3205
169,3201
170,3203
171,3202
172,3211
173,3210
174,3213
175,3207
175,3208
176,3206
177,3305
177,3306
178,3309
179,3302
180,3301
181,3303
182,3304
183,3403
184,3402
185,3405
185,3406
186,3404
187,3406
188,3503
189,3507
190,3508
191,3502
192,3501
193,3506
193,3509
194,3604
195,3602
196,3601
197,3605
198,3603
201,3704
201,3709
202,3702
202,3703
202,3704
202,3714
209,3705
211,3806
212,3806
213,3806
214,3806
215,3806
217,3906
217,3912
218,3902
218,3909
220,3902
220,3903
220,3905
221,3902
221,3904
228,4002
230,4005
245,4305
246,4304
246,4305
247,4303
261,4505
262,4501
265,4503
267,4502
267,4504
269,4507
270,4603
271,4605
272,4604
